# tank_side
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-125.402 216.274 845.182 -41.6854 73.6155 -17.6229 12.2817 2112 7 1041 1 1 0 0 1 
-243.958 -54.6316 1172.65 -60.2867 -13.4918 68.8225 15.6178 2112 7 1042 1 1 0 0 1 
215.072 127.452 809.718 91.5246 53.8511 -36.7449 10.5155 2112 7 1047 1 1 0 0 1 
7.2779 249.894 971.428 12.9252 115.418 -46.59 9.98078 2112 7 1052 1 1 0 0 1 
248.979 -22.5672 1044.44 112.161 -9.78776 65.6917 10.1059 2112 7 1055 1 1 0 0 1 
-129.634 213.764 856.987 -16.7773 28.2355 -5.44847 26.7768 2112 7 1059 1057 1 0 0 1 
249.703 12.1816 864.309 51.2966 2.46623 -6.89455 18.4819 2112 7 1060 1057 1 0 0 1 
-228.135 102.248 978.579 -114.986 52.4399 41.5371 9.21792 2112 7 1061 1 1 0 0 1 
203.873 144.693 1018.86 101.295 71.2916 59.7392 9.46498 2112 7 1066 1 1 0 0 1 
246.073 44.1363 937.388 157.518 28.3479 25.5192 8.02953 2112 7 1071 1 1 0 0 1 
-134.423 210.786 819.6 -84.2931 135.165 -49.5543 7.98743 2112 7 1072 1 1 0 0 1 
212.192 132.191 955.449 142.922 88.3733 38.8252 7.79753 2112 7 1077 1 1 0 0 1 
-249.852 8.59734 961.516 -167.812 6.25163 43.7153 7.70504 2112 7 1078 1 1 0 0 1 
134.392 -210.805 826.263 93.5745 -143.587 -48.3931 7.67855 2112 7 1081 1 1 0 0 1 
249.2 19.9847 981.027 100.894 8.11315 32.1963 10.8776 2112 7 1086 1083 1 0 0 1 
-200.563 149.246 878.566 -95.1243 71.9878 -8.87107 9.57275 2212 7 1088 1 1 5.12308e-24 5.12308e-24 1 
145.001 203.653 895.551 114.386 158.315 -1.20277 7.13929 2112 7 1089 1 1 0 0 1 
-53.7729 -244.148 842.146 -40.5472 -192.919 -43.5352 7.05571 2112 7 1090 1 1 0 0 1 
-234.051 -87.8643 1101.91 -149.579 -56.3839 132.35 7.97566 2112 7 1091 1 1 0 0 1 
129.386 -213.914 1084.87 89.5428 -144.722 127.396 7.74502 2112 7 1093 1 1 0 0 1 
178.285 -175.255 1018.47 138.806 -134.024 93.1391 7.19768 2112 7 1094 1 1 0 0 1 
152.86 197.822 873.119 161.359 205.983 -24.8959 6.14421 2112 7 1099 1 1 0 0 1 
-247.335 36.4042 964.434 -29.2185 4.55924 8.01428 29.2013 2112 7 1104 1101 1 0 0 1 
217.691 122.926 1151.24 28.5306 16.0754 32.737 27.3424 2112 7 1105 1101 1 0 0 1 
249.526 15.3813 1170.67 38.7802 -9.44648 56.6618 20.1542 2112 7 1106 1101 1 0 0 1 
85.1357 -235.057 976.549 74.8118 -199.857 67.4062 6.77801 2212 7 1109 1 1 1.7688e-24 1.7688e-24 1 
88.2373 -233.911 1154.89 55.3309 -141.76 156.491 8.28918 2212 7 1110 1 1 2.52572e-24 2.52572e-24 1 
248.956 22.8272 924.187 355.796 33.1567 38.3092 5.38133 2112 7 1111 1 1 0 0 1 
0.973027 249.998 946.544 2.41193 168.821 33.7218 7.68468 2212 7 1112 1 1 2.72293e-24 2.72293e-24 1 
-232.475 91.9528 1081.36 -348.764 140.434 279.532 5.31742 2112 7 1113 1 1 0 0 1 
-249.663 -12.9824 1054.68 -395.966 -19.8215 252.542 5.19571 2112 7 1114 1 1 0 0 1 
138.044 208.432 876.177 272.856 405.593 -40.6009 4.83116 2112 7 1115 1 1 0 0 1 
-225.55 -107.83 990.62 -418.169 -201.085 175.392 4.89865 2112 7 1116 1 1 0 0 1 
